Treasure,Uncommon/Rare,Passive Effect,Consumable?,Duration,Uses,Description
Dexterity Tonic,Uncommon,+2 Agility,Yes,At Least 6 Turns,1,The oil-like tonic limbers up your muscles.
Ring of Agility,Uncommon,+1 Agility,No,∞ Turns,∞,This ring has a latent magic that reinforces the body.
Cap Breaker,Uncommon/Rare,Reveals walls.,Yes,Instant,1,This device will uncover all tiles containing walls on the level.
Healing Concentrate,Uncommon/Rare,+ 50 HP,Yes,Instant,1,This dark green healing potion is extremely powerful.
Healing Keg,Uncommon/Rare,+8 HP,Yes,Instant,2 - 6,The Healing Keg contains multiple drinks worth of healing potion.
Healing Potion,Common,+8 HP,Yes,Instant,1,Healing potions repair wounds and restore health when drunk.
Heavy Armor,Uncommon,+3 Armor<br>-2 Agility,No,∞ Turns,∞,"Metal plates clank together, impeding your movement but protecting handily."
Light Armor,Common,+1 Armor<br>-1 Agility,No,∞ Turns,∞,Leather straps and buckles offer mild protection to the user.
Milk,Common,Removes status effects.,Yes,Instant,1,"Delicious, healthy milk washes out the blood and removes status effects."
Mithril Armor,Rare,+3 Armor<br>-1 Agility,No,∞ Turns,∞,You can always make some nice stuff when you're using mithril.
Panic Button,Uncommon/Rare,Randomly relocates player to visible tile.,Yes,Instant,1,This device will teleport Sweeper to a random location in the level.
Ring of Regeneration,Rare,+1 HP (Per Turn),No,∞ Turns,∞,The holder of this ring slowly has their wounds repair over time.
Resealant,Uncommon/Rare,Surrounds player with wall tiles.,Yes,Instant,1,This device surrounds Sweeper with a ring of tile caps.
Ring of Resilience,Uncommon,+2 Max HP,No,∞ Turns,∞,This ring has latent magic that reinforces the body.
Strength Potion,Uncommon/Rare,+3 Strength,Yes,At Least 6 Turns,1,This tonic will set your muscles on fire!  But in a good way.
Ring of Strength,Uncommon,+1 Strength,No,∞ Turns,∞,This ring has latent magic that reinforces the body.
Whiskey,Uncommon,+1 Armor<br>-1 Agility,Yes,Instant,1,You can't feel the pain. But you also can't feel your legs.
